"Notes"	"Year"	Average Heat Wave Days Based on Daily Maximum Temperature	Average Heat Wave Days Based on Daily Maximum Heat Index
	"1991"	3.75	4.56
	"1992"	0.95	1.19
	"1993"	6.57	7.13
	"1994"	2.09	1.37
	"1995"	2.84	1.65
	"1996"	5.47	5.13
	"1997"	3.63	4.37
	"1998"	15.45	9.66
	"1999"	2.86	2.38
	"2000"	4.18	4.16
	"2001"	4.60	2.95
	"2002"	1.19	1.58
	"2003"	2.66	4.70
	"2004"	2.86	2.76
	"2005"	4.83	8.35
	"2006"	1.71	2.74
	"2007"	1.64	3.48
	"2008"	7.33	8.59
	"2009"	7.54	8.62
	"2010"	10.48	5.36
	"2011"	4.92	7.05
	"2012"	8.36	6.84
	"2013"	6.94	5.21
	"2014"	0.83	1.38
	"2015"	7.49	7.43
	"2016"	11.80	9.05
	"2017"	15.25	10.06
	"2018"	4.66	4.01
	"2019"	14.72	6.57
	"2020"	15.73	19.42
