Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary,,,,,,,,,,,,,
Mapuche Confederation of Neuquén v. YPF et al.,Argentina,ARG,Argentina,,Mitigation,<div>Indigenous group filed criminal complaint alleging mishandling of toxic fracking waste.</div>,,,"Energy, Other",Mapuche Confederation of Neuqu̩n|ngo,"Pampa Energia|corporation;Subsecretary of the Environment, the Provision Director of Environmental Situations and Special Residuals Management, and the Provincial Budget Director|government",,31/10/2018|Case opened,"<div>An indigenous group in Argentina is suing several multinational oil companies as well as local authorities over alleged dumping of toxic waste produced by fracking in the Vaca Muerta shale play in Patagonia. The Mapuche Confederation of Neuquén brought a criminal complaint asserting that the mishandling of toxic waste has resulted in contamination that threatens the environment and public health. The complaint discusses a United Nations report that called on the Argentine government to reconsider the decision to allow fracking in the Vacca Muerta because of the greenhouse gas emissions associated with shale gas development. The complaint seeks a criminal investigation into the waste sites, and names the Argentine energy company YPF, Total, Exxon, Pan American Energy, Pampa Energia, the Secretary of Territorial and Environmental Development, the Subsecretary of the Environment, the Provision Director of Environmental Situations and Special Residuals Management, and the Provincial Budget Director.</div>",,,,,,,,,,,,,
"Asociación Civil por la Justicia Ambiental v. Province of Entre Ríos, et al.",Argentina,ARG,Supreme Court,,Loss And Damage,<div>Class action asks Argentinian Supreme Court to recognize rights of the Paraná Delta.</div>,,Paris Agreement|,United Nations Convention on the Rights of the Child|,General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf,Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Environmental Law to Control Burning Activities No. 23.919|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/319/norma.htm,Cross Cutting Area,Asociación Civil por la Justicia Ambiental|ngo,Province of Entre Ríos and others|government,,02/07/2020|Class action filed,"<div>On July 2, 2020 a class action was filed in the Argentinian Supreme Court against the governments of the Province of Entre Ríos and the Municipality of Victoria City in Argentina for their alleged failure to protect environmentally sensitive wetlands. The lawsuit, brought by the groups Asociación Civil por la Justicia Ambiental and Foto Ecologista de Paraná, and a class of children, argues that the Paraná Delta has its own rights.&nbsp;<br><br></div><div>The plaintiffs ask the Court to declare the Paraná Delta a ""subject of rights"" and an essential ecosystem for mitigating and adapting to climate change; order that the defendants develop and implement an Environmental Territorial Order and Plan to regulate land use in the Paraná Delta, recognizing that the area is at risk due to climate impacts; designate a ""guardian"" of the rights of the Paraná Delta with the goal of controlling the conservation and sustainable use of the wetlands; and ensure public participation in future decisions consistent with the Escazú Agreement. The complaint relies primarily on the Argentinian constitution, the Convention on the Rights of the Child, the UNFCCC, the Paris Agreement, General Environmental Law No. 25.675 and Environmental Law to Control Burning Activities No. 23.919. The complaint also references laws in other countries recognizing the rights of nature, rivers, and other non-human entities.</div>",,,,,,,,,
OAAA v. Araucaria Energy SA.,Argentina,ARG,Federal Court of Mercedes,,Mitigation,<div>Plaintiffs sought to block thermoelectric plant</div>,,Paris Agreement|,General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf,Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Organización de Ambientalistas Autoconvocados|ngo,Araucaria Energy SA|corporation,,07/01/2018|Complaint filed,"<div>In July 2018, an environmental group brought a preventive action against the thermoelectric power station Lujan II, located in the Argentinian city of Luján. The petition seeks to block the plant on the ground that the environmental assessment of the plant was flawed, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties.</div>",,,,,,,,,,
"FOMEA v. MSU S.A., Rio Energy S.A., & General Electric",Argentina,ARG,Federal Court of San Nicolás,,Mitigation,<div>Petition sought to block thermoelectric plant</div>,,Paris Agreement|,General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf,Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,FOMEA|ngo,MSU S.A.|corporation,Rio Energy S.A.|corporation,General Electric|corporation,,17/05/2017|Case filed,"<div>In May 2017 the environmental group FOMEA brought a preventive action against the thermoelectric power station MSU S.A. - Rio Energy S.A. and against General Electric International, inc. for its plant located in the city of San Nicolás in Buenos Aires, Argentina. The petition seeks to block the plant on the ground that its construction began without a required environmental certificate, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties.</div>",,,,,,,,
Hahn et al. v. APR Energy S.R.L,Argentina,ARG,Federal Court of Campana,,Mitigation,<div>Plaintiffs sought to block thermoelectric plant</div>,,Paris Agreement|,Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Hahn and others|individual_ngo,APR Energy S.R.L|corporation,,29/11/2017|Case filed,"<div>On November 29, 2017, a coalition of individuals and nonprofits brought a preventive action against the thermoelectric power station Matheu II, located in the Argentinian city of Pilar. The petition seeks to block the plant on the ground that its construction began without a required environmental assessment, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties.</div>",,,,,,,,,,,
Hahn et al. v. Araucaria Energy Sociedad Anonima (II),Argentina,ARG,Federal Court of Campana,,Mitigation,<div>Plaintiffs sought to block thermoelectric plant</div>,,Paris Agreement|,General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf,Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Hahn and others|individual_ngo,APR Energy S.R.L|corporation,,20/12/2017|Case filed||,"<div>On December 20, 2017, a coalition of individuals and nonprofits brought a preventive action against the thermoelectric power station Matheu II, located in the Argentinian city of Pilar. The petition seeks to block the plant on the ground that its construction is supported by a flawed environmental assessment, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties.</div>",,,,,,,,,,
"Carballo et al. v. MSU S.A., UGEN S.A., & General Electric",Argentina,ARG,Federal Court of Azul,,Mitigation,<div>Plaintiffs sought to block thermoelectric plant</div>,,Paris Agreement|,General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf,Argentinian Constitution|http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/804/norma.htm,Kyoto Protocol|https://unfccc.int/resource/docs/convkp/kpeng.pdf,Energy,Carballo and others|individual_ngo,MSU S.A.|corporation,UGEN S.A.|corporation,General Electric|corporation,,01/07/2017|Case filed||,"<div>In July 2017, a coalition of individuals and nonprofits brought a preventive action against UGEN SA and General Electric International to against the thermoelectric power station in the city of Barker, province of Buenos Aires, Argentina. The petition seeks to block the plant on the ground that the environmental assessment of the plant was flawed, and the plant is inconsistent with international climate agreements such as the Kyoto Protocol and the Paris Agreement because it will use fossil fuels. The complaint also relies on Argentina's civil code, Constitution and General Law of the Environment, as well as a number of international human rights treaties.</div>",,,,,,,,
Carballo et al. v. State of the Province of Buenos Aires and the Provincial Agency for Sustainable Development,Argentina,ARG,Administrative Court of Azul,,Mitigation,<div>Plaintiffs alleged irregularities in permitting for thermoelectric plant.</div>,,Paris Agreement|,General Environmental Law No. 25.675|http://www.opds.gba.gov.ar/sites/default/files/LEY%2025675.pdf,Energy,Carballo and others|individual_ngo,State of the Province of Buenos Aires|corporation,Provincial Agency for Sustainable Development|corporation,,20/10/2017|Case filed,"<div>On October 20, 2017, a coalition of individuals filed an action against the Province of Buenos Aires and the Provincial Agency for Sustainable Development alleging irregularities in the environmental authorization for the UGEN SA thermoelectric plant, located in the city of Barker, province of Buenos Aires, Argentina. The complaint relies on the Paris Agreement as well as a number of international human rights treaties.</div>",,,,,,,,,,,
"Hunter Environment Lobby Inc. v. Minister for Planning (New South Wales Court of Appeal, 2011)",Australia,AUS,Australia,[2011] NSWLEC 221, [2012] NSWLEC 40,Mitigation,Challenge to conditions imposed on approval of a coal mine,,,Energy,Hunter Community Environment Centre Inc.|ngo,Minister for Planning and Delta Electricity|government,,25/12/2011|Case opened,"The case relates to the approval of diverse extensions of a coalmine, leading to an increase of annual production of up to 20 million tones of coal. The Hunter Environment Lobby objected to the proposal, notably on the ground that the extensions would have an important impact on climate change. Nevertheless, the project was approved by the Planning Minister in November 2010 and the Hunter Environment Lobby appealed. In its decision, the Court distinguished between direct GHG emissions (Scope 1 GHG emissions) and indirect GHG emissions (Scope 2 GHG emissions), i.e. emissions from the consumption of purchased electricity. With respect to direct emissions, the Court held that it was lawful and reasonably implementable to take them into account in the approval process. The Court further highlighted that it was not discriminatory to do so as upcoming approvals would follow the same rule. However, the Court refused to impose any condition with respect to indirect emissions. The Court thus affirmed the approval, but subject to certain conditions, including a condition which required the offset of any direct GHG emissions from the mine. This condition could be suspended if another law or regulation was introduced which would cover these emissions. 


Following this initial decision, the Australian Government introduced a carbon price, which was implemented through federal legislation.  In light of this new scheme, in a subsequent decision the Court held that it was valid for the Minister to decide that the condition on the mine relating to offsetting of direct emissions was no longer necessary.",,,,,,,,,,,,
Charles & Howard Pty. Ltd. v. Redland Shire Council (Queensland Supreme Court 2007),Australia,AUS,Australia,[2007] QCA 200,Adaptation,<div>Challenge to city council's decision limiting development in a flood zone</div>,,Integrated Planning Act 1997|,Disaster Risk Management (Drm),Charles & Howard Pty Ltd|corporation,Redland Shire Council|government,,25/12/2008|Case opened,"<div>The owner of property located on Australia's northwest coast wanted to build a dwelling close to the water but was refused by the local council, which prohibited such construction in locations at risk for flooding. The property owner appealed that refusal to the Queensland Planning and Environment Court, which upheld the council's decision and also noted that climate change was increasing the flood risks of concern to the council. The property owner appealed that ruling to the Supreme Court of Queensland, which upheld the lower court's decision.</div>",,,,,,,,,,,,,
